transaction_date,post_date,description,category,type,amount,transaction_class,source_file,account_type,institution,month
2026-05-05,2026-05-06,SUBWAY 15890,Food & Drink,Sale,-12.96,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-05,2026-05-06,WHOLEFDS STC 10267,Groceries,Sale,-31.61,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-05,2026-05-05,AUTOMATIC PAYMENT - THANK,,Payment,10148.95,transfer,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-05,2026-05-05,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.0,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-03,2026-05-05,ARMK ANAHEIM CC F&amp;B,Food & Drink,Sale,-15.0,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-02,2026-05-04,SP MOODYTIGER,Shopping,Sale,-70.25,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-02,2026-05-04,7-ELEVEN 17590,Gas,Sale,-17.46,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-02,2026-05-04,VILLASPORT SJ ONLINE,Health & Wellness,Sale,-248.0,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-03,2026-05-04,PANDA EXPRESS #1841,Food & Drink,Sale,-12.39,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-04,2026-05-04,Cremedelamer.com,Shopping,Sale,-894.46,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-02,2026-05-04,SUN NONG DAN WEST LA,Food & Drink,Sale,-291.34,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-03,2026-05-04,CHEVRON 0096953,Gas,Sale,-7.98,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-04-30,2026-05-03,SHELL OIL12878199012,Gas,Sale,-23.45,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-05-02,2026-05-03,TOKYO JAPANESE LIFESTYLE,Shopping,Sale,-17.74,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-03,2026-05-03,POP MART Americas Inc.,Shopping,Sale,-30.72,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-01,2026-05-03,WALGREENS #09977,Health & Wellness,Sale,-35.11,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-05-01,2026-05-03,PANDA EXPRESS #459,Food & Drink,Sale,-14.55,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-04-30,2026-05-03,JACK IN THE BOX 4369,Food & Drink,Sale,-22.86,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-30,2026-05-03,WALGREENS #09977,Health & Wellness,Sale,-25.67,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-05-02,2026-05-03,DD *THAIBELLY,Food & Drink,Sale,-123.54,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-04-30,2026-05-03,VILLASPORT SJ ONLINE,Health & Wellness,Sale,-95.0,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-05-01,2026-05-01,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-20.0,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-05
2026-04-28,2026-04-30,PANERA BREAD #204488 K,Food & Drink,Sale,-7.43,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-28,2026-04-29,TST* DAINTY CUISINE,Food & Drink,Sale,-37.53,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-28,2026-04-29,WHOLEFDS ALM #10259,Groceries,Sale,-14.58,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-28,2026-04-29,WHOLEFDS ALM #10259,Groceries,Sale,-21.26,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-27,2026-04-28,CVS/PHARMACY #09894,Health & Wellness,Sale,-3.0,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-27,2026-04-28,MCDONALD'S F4524,Food & Drink,Sale,-11.09,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-27,2026-04-28,WEEE INC.,Groceries,Sale,-130.81,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-27,2026-04-28,99 RANCH #1779,Groceries,Sale,-32.67,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-26,2026-04-27,MCDONALD'S F4524,Food & Drink,Sale,-17.57,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-25,2026-04-27,7-ELEVEN 25717,Gas,Sale,-8.78,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-24,2026-04-26,PANERA BREAD #204477 K,Food & Drink,Sale,-17.38,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-23,2026-04-26,TARGET        00003236,Shopping,Sale,-2.49,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-25,2026-04-26,CICEROS PIZZA,Food & Drink,Sale,-18.4,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-23,2026-04-26,TARGET        00003236,Shopping,Sale,-12.27,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-24,2026-04-26,TARGET        00022384,Shopping,Sale,-16.49,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-25,2026-04-26,MCDONALD'S F4524,Food & Drink,Sale,-5.6,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-23,2026-04-24,MCDONALD'S M4472 OF CA,Food & Drink,Sale,-6.14,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-23,2026-04-24,MCDONALD'S M4472 OF CA,Food & Drink,Sale,-4.17,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
2026-04-23,2026-04-24,MCDONALD'S F32974,Food & Drink,Sale,-10.99,expense,Chase credit 0933_Activity20260409_20260508_20260618.CSV,credit_card,Chase,2026-04
