keyword,merchant,mycfo_category,mycfo_subcategory
STRATFORD,Stratford School,Education,Private School Tuition
VALLEY CHRISTIAN,Valley Christian,Education,Private School Tuition
AI PRODUCT ACADEMY,AI Product Academy,Education,Professional Development
SILICON VALLEY FENC,Silicon Valley Fencing,Kids Activities,Fencing
YMCA,YMCA,Kids Activities,Camps / Membership
JESSICA,Jessica's Cleaning,Home,Cleaning
GABRIEL,Gabriel,Home,Cleaning / Maintenance
LIVING SPACES,Living Spaces,Home,Furniture
SPICE UP YOUR HOME,Spice Up Your Home Staging,Home,Home Staging
REUBEN BORG,Reuben Borg Fence,Home,Home Improvement
REED PALMER,Reed Palmer,Home,Contractor
TRADER JOE,Trader Joe's,Groceries,Supermarket
WEEE,Weee!,Groceries,Asian Grocery
GROCERY OUTLET,Grocery Outlet,Groceries,Discount Grocery
COSTCO,Costco,Groceries,Warehouse Club
WHOLE FOODS,Whole Foods,Groceries,Supermarket
PING,Ping's Bistro,Dining,Restaurant
HAIDILAO,Haidilao,Dining,Restaurant
OTANI NOODLE,Otani Noodle,Dining,Restaurant
HUNGRYPANDA,HungryPanda,Dining,Food Delivery
UNITED,United Airlines,Travel,Airfare
ZIPAIR,ZIPAIR,Travel,Airfare
EVA AIR,EVA Air,Travel,Airfare
ALASKA AIR,Alaska Airlines,Travel,Airfare
AMEX FINE HOTELS,Amex Fine Hotels,Travel,Hotel
VILLASPORT,VillaSport,Health & Fitness,Gym
CVS,CVS,Health & Fitness,Pharmacy
SANTA CLARA DTAC,Santa Clara County,Taxes,Property Tax
OBIEINSURANCE,Obie Insurance,Insurance,Home / Rental Insurance
BKOFAMERICA ATM,Bank of America ATM,Cash,ATM Withdrawal
BKOFAMERICA BC,Bank of America Cash Withdrawal,Cash,ATM / Cash Withdrawal
BANK OF C HINA,Bank of China,Family,Family Support
ALP*OTHERRETAIL,Other Retail,Shopping,Clothing
CREMEDELAMER,La Mer,Shopping,Beauty
POP MART,Pop Mart,Shopping,Toys / Collectibles
AMAZON MKTPL,Amazon Marketplace,Groceries,Grocery / Household
THE HOME DEPOT,Home Depot,Home,Home Improvement
RENEWAL MEMBERSHIP FEE,Credit Card Membership Fee,Fees,Credit Card Annual Fee
